locationUid,assetUid,timestamp,latitude,longitude,speed_unit,direction_unit,eventUid,pedestrian_count,pedestrian_speed,pedestrian_direction,pedestrian_counter_count,pedestrian_counter_speed,pedestrian_counter_direction
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317226923,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzIyNjkyMw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317257114,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzI1NzExNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317287172,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzI4NzE3Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317317296,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzMxNzI5Ng==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317347421,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzM0NzQyMQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317377478,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzM3NzQ3OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317407536,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzQwNzUzNg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317437660,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzQzNzY2MA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317467785,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzQ2Nzc4NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317497842,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzQ5Nzg0Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317528033,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzUyODAzMw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317558091,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzU1ODA5MQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317588148,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzU4ODE0OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317618273,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzYxODI3Mw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317648330,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzY0ODMzMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317678388,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzY3ODM4OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317708579,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzcwODU3OQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588317738703,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxNzczODcwMw==,0.0,0.0,66.0,0.0,0.0,66.0
