assetUid,parentAssetUid,longitude,latitude,street_address
1be05e94-4003-4d15-85a2-34bc204051ee,9fc11f76-0692-4b58-8a12-af8a39a7fdd0,-117.1590591,32.70828223,601 K St  San Diego  CA 92101 
6208746d-c391-4c6e-9922-b2bc2f66d000,17edd509-2c3d-4966-a1fd-f9cc190baaf6,-117.1610347,32.7191376,1327 Fourth Ave  San Diego  CA 92101 
879752d2-b2dc-4a7a-a298-ac0eeaafb86d,886dbaae-169f-487a-b132-0e74e59dcdc4,-117.2313133,32.97567673,14550 El Camino Real  Del Mar  CA 92014 
7a0e9ae9-8049-4401-8ead-00ed2f075135,9f421fcc-968d-48c7-a866-75943b627ada,-117.1591283,32.71163942,611 Sixth Ave  San Diego  CA 92101 
b1f6b44b-ce67-401c-8789-0211b69bd739,bdd25fbc-2e11-4f62-9b0c-117cf02fe32b,-117.1494013,32.71584953,1009 16th St  San Diego  CA 92101 
66678277-fe73-4d22-88d7-5084bb4097cb,41e83b1c-3f7c-4763-acb1-6c6730a5961f,-117.0668306,32.761306,6107 El Cajon Blvd  San Diego  CA 92115 
0b07deea-6d66-4cbd-9824-c29e93730305,6e094ebd-a7ee-4926-92ce-ce0ae5a5134a,-117.1591058,32.71035993,473 Sixth Ave  San Diego  CA 92101 
369c4c1c-8637-4170-acbe-5c09f189f5af,32550aa9-b6d2-4fee-a046-8492103efa5b,-117.1600672,32.71161355,601 Fifth Ave  San Diego  CA 92101 
695a9b4d-0503-4dd3-8ac9-f4c46f108e9d,8eb443c6-1ca7-4f9f-ba85-b2c94b80ec6a,-117.2084748,32.76699444,981 Sea World Dr  San Diego  CA 92109 
3162ea22-c4ab-49ed-aa57-4454d5502703,07b335c7-bf09-496b-9287-594b178d3b2f,-117.09566353,32.75568955,4593 El Cajon Blvd  San Diego  CA 92115 
7e31539b-9380-4557-b427-fa035e4c401d,481522b0-cac5-4aac-a395-8c604a27a965,-117.07285120000002,32.75887757,5800 El Cajon Blvd  San Diego  CA 92115 
