locationUid,assetUid,timestamp,latitude,longitude,speed_unit,direction_unit,eventUid,bicycle_count,bicycle_speed,bicycle_direction,bicycle_counter_count,bicycle_counter_speed,bicycle_counter_direction
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317127688,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzEyNzY4OA==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317157812,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzE1NzgxMg==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317188003,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzE4ODAwMw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317218193,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzIxODE5Mw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317248317,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzI0ODMxNw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317278442,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzI3ODQ0Mg==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317308765,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzMwODc2NQ==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317339023,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzMzOTAyMw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317369080,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzM2OTA4MA==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317399271,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzM5OTI3MQ==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317429328,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzQyOTMyOA==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317459386,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzQ1OTM4Ng==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317489643,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzQ4OTY0Mw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317519900,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzUxOTkwMA==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317550091,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzU1MDA5MQ==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317580282,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzU4MDI4Mg==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317610339,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzYxMDMzOQ==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317640463,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzY0MDQ2Mw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317670787,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzY3MDc4Nw==,0.0,0.0,85.0,0.0,0.0,85.0
dztp9uvkj2jxuqy90f,56f7e069-3b22-4195-8b82-865af18ce875,1588317700911,32.70928915,-117.1588511,METERS_PER_SEC,METERS_PER_SEC,MTU4ODMxNzcwMDkxMQ==,0.0,0.0,85.0,0.0,0.0,85.0
